电影名,电影年份,电影数据,电影标签,电影时长,电影评分,电影语言,电影导演,电影作者,电影口号,电影描述
辛德勒的名单,(1993),2019-04-06 (CN),"剧情,历史,战争",3h 15m,86,英语,托马斯·肯尼利,史蒂文·斯皮尔伯格,谁拯救了一条生命，谁就拯救了整个世界。,1939年，纳粹德国入侵波兰。德国商人奥斯卡·辛德勒来到被占领的克拉科夫，利用自己的人脉和金钱开办了一家搪瓷厂，并雇用被迫劳动的犹太人生产军需用品，希望借战争获取财富。随着纳粹对犹太人的迫害不断升级，辛德勒亲眼目睹了克拉科夫犹太区遭到清剿，以及无数普通人被驱逐和杀害。曾经只关心生意与利益的他开始发生改变，并利用自己的工厂、财富以及与纳粹官员之间的关系，尽可能保护身边的犹太工人。在愈发疯狂的屠杀与战争阴影下，一场以生命为代价的救援也由此悄然展开……
年轻的心,(2024),2024-12-18 (BE),"剧情,爱情",1h 37m,86,荷兰语,,安东尼·沙特曼,简介,埃利亚斯是一个十四岁的男孩，在一个小村庄长大，他在这里感到自己像个局外人。在遇到新邻居兼同龄人亚历山大后，埃利亚斯开始面对自己逐渐显露的性意识。
电锯人剧场版：蕾塞篇,(2025),2025-09-19 (JP),"动画,动作,爱情,奇幻",1h 40m,85,日语,濑古浩司,吉原达矢,活出你的人生本色……并让它精彩纷呈。,故事延续TV动画的最终章，讲述男主角电次在偶然邂逅的神秘少女蕾塞的庇护下，在快节奏的战斗中，奔向难以预测的命运。  电次，一个少年，与“电锯恶魔”签订契约，化身“电锯人”，成为隶属于公安部魔物对策特别课四课的魔物猎人，与魔物战斗。正兴奋地等待着与心仪的女性、公安部上司玛奇玛约会，却遭遇突如其来的暴雨，不得不在雨中避雨。在避雨的过程中，他邂逅了名为蕾塞的少女。在附近咖啡馆工作的蕾塞对电次露出了和善的笑容，两人迅速成为了好朋友。这次邂逅标志着电次的日常生活发生了重大改变。
蝙蝠侠：黑暗骑士,(2008),2018-04-07 (CN),"动作,犯罪,惊悚",2h 32m,85,英语,鲍勃·凯恩,克里斯托弗·诺兰,黎明前的夜是最黑暗的！,在蝙蝠侠、警官詹姆斯·戈登和地方检察官哈维·丹特的共同努力下，哥谭市的犯罪势力受到前所未有的打击。然而，自称“小丑”的神秘罪犯突然出现，以毫无规则的暴力和精心策划的犯罪不断挑战城市秩序，也将蝙蝠侠、戈登和丹特一步步逼入道德与人性的困境。面对一个无法用常规逻辑理解的敌人，蝙蝠侠必须在守护哥谭与坚守自身原则之间作出艰难选择……
千与千寻,(2001),2019-06-21 (CN),"动画,家庭,奇幻",2h 5m,85,日语,,宫崎骏,隧道的另一头，是不可思议的小镇。,10岁的千寻跟随父母搬家途中，意外穿过一条神秘隧道，闯入了一个属于神灵的奇异世界。父母因为擅自吃下供奉给神灵的食物而被变成猪，惊慌失措的千寻则在神秘少年白龙的帮助下得以留下。为了在这个世界生存并寻找救回父母的方法，她不得不到汤婆婆掌管的“油屋”浴场工作。在形形色色的神灵与不可思议的遭遇中，原本胆小任性的千寻开始学会独自面对困难，而她也必须找到离开这里、带父母重返人类世界的方法……
指环王3：王者无敌,(2003),2004-03-15 (CN),"冒险,奇幻,动作",4h 23m,85,英语,J.R.R.托尔金,彼得·杰克逊,敌人的邪眼在移动！,索伦大军为剿灭人类种族，已对刚铎都城米那斯提力斯展开围攻。这座昔日的伟大王国由一位日渐衰弱的摄政王守护，此刻比任何时候都更需要它的王者归来。但阿拉贡能否回应血脉的召唤，成为命定之君？中土世界的命运，正系于他宽阔的双肩。
绿里奇迹,(1999),1999-12-10 (US),"奇幻,剧情,犯罪",3h 9m,85,英语,斯蒂芬·金,弗兰克·德拉邦特,保罗·埃奇康姆从不相信奇迹。直到他遇见奇迹的那一天。,1935年。美国南部惨淡肃杀的冷山监狱。这里有片一英里长的绿地，人们叫它“绿里”。不过，它的居民皆为死囚，在绿地的另一头，便是行刑用的电椅。保罗·艾治科姆（汤姆·汉 克斯饰）是这里的狱监，对于走过“绿里”、继而在电椅上惨叫毙命的死囚行刑程序，他俨然已无动于衷。除了保罗及其爱妻简外，“绿里”上还有凶残的副狱监豪威尔，有施虐倾向 的狱吏佩西，良心未泯的看守海尔和他身患绝症的妻子美琳达，喜用宠物鼠逗狱吏和诸“难友”取乐的德拉克，连环杀人狂威廉，负疚深重的犯人彼特等一干形形色色的人们。他们之 间充满了敌意和不屑。但神秘的约翰·考夫利的到来改变了一切。考夫利因谋杀两名幼女被 判死罪，他相貌恐怖，体形硕大，却出奇地平和、敏感而缄默，天真时甚至像个孩子，同时， 他似乎还具有一种不可名状的神秘力量，令人不由自主地对其产生信任感，这不禁让艾治科姆对其罪行是否属实深怀疑问。 真情无法取代程式，考夫利终要走过“绿里”。在这个貌似粗鲁的男人即将赴死的刹那，“绿里”上的人们以不同以往的形式实现了各自生命的重要跨越。
勇夺芳心,(1995),1995-10-20 (IN),"喜剧,剧情,爱情",3h 10m,85,印地语,,Aditya Chopra,"Come… fall In love, all over again…",乔德利和妻子结婚多年，一直十分恩爱。两人共同养育了两个女儿希姆莱和图吉，两个姑娘都出落得亭亭玉立。一晃眼，希姆莱就到了该嫁人的年纪了，尽管乔德利一家人已经在伦敦生活了二十多年了，但乔德利骨子里依旧是一个传统的印度人。乔德利将希姆莱许配给了朋友的儿子库杰，这让希姆莱感到十分不满。一次偶然中，希姆莱邂逅了名为拉杰的印度男子，尽管拉杰为人轻浮，油腔滑调，但希姆莱还是同他坠入了情网。得知此事的乔德利举家迁回了印度，拉杰亦紧跟其后，他要如何才能获得乔德利的认可呢？
寄生虫,(2019),2019-07-28 (CN),"喜剧,惊悚,剧情",2h 12m,85,朝鲜语,韩进元,奉俊昊,表现得好像这个地方是你的似的。,金基泽一家四口挤在首尔一间狭小的半地下室里，没有稳定工作，只能靠零散的活计勉强维持生活。一天，儿子基宇经朋友介绍，得到前往富裕的朴社长家担任英语家教的机会。进入这个与自己生活截然不同的家庭后，基宇发现了新的机会，并设法将妹妹基婷包装成艺术老师介绍给朴家。随后，一家人通过精心设计，让父亲和母亲也先后进入朴家工作，而朴家始终不知道这四名新雇员其实来自同一个家庭。就在金家逐渐适应这份来之不易的优渥生活时，一个隐藏在朴家豪宅中的秘密突然出现，两个家庭之间看似稳定的关系也开始走向无法预料的方向……
星际穿越,(2014),2014-11-12 (CN),"冒险,剧情,科幻",2h 49m,85,英语,乔纳森·诺兰,克里斯托弗·诺兰,人类的下一步将迈向非凡！,近未来，地球环境持续恶化，枯萎病和沙尘暴让越来越多农作物消失，人类的生存前景也变得岌岌可危。曾为NASA飞行员的库珀如今与家人在农场生活，一次偶然发现的异常重力现象，却将他和女儿墨菲引向一个仍在秘密运作的NASA基地。布兰德教授告诉他，多年前土星附近出现了一处神秘虫洞，人类已经通过它寻找太阳系之外可能适合居住的新世界。为了给地球上的人类寻找延续文明的希望，库珀决定告别家人，与艾米莉亚·布兰德等人踏上一场穿越虫洞、前往遥远星系的探索之旅。然而在浩瀚宇宙中，距离与时间都将成为他们从未真正面对过的考验……
你的名字。,(2016),2016-12-02 (CN),"动画,爱情,剧情",1h 46m,85,日语,,新海诚,我正在寻觅未曾相识的你。,生活在深山小镇的高中女生宫水三叶一直向往着东京的生活，而住在东京的高中男生立花泷也过着属于自己的忙碌日常。某天，两人开始在梦中交换身体，以彼此的身份体验完全不同的人生。最初的困惑与争执过后，他们逐渐学会通过留言了解对方，并在一次次交换中建立起特殊的羁绊。然而就在两人越来越在意彼此时，身体交换却突然停止。为了找到那个从未真正见过、却早已深深影响自己的人，泷开始循着记忆中的线索寻找三叶，而隐藏在这场奇妙相遇背后的秘密也逐渐浮出水面……
低俗小说,(1994),2024-04-18 (CN),"惊悚,犯罪,喜剧",2h 34m,85,英语,罗杰·阿瓦里,昆汀·塔伦蒂诺,仅仅因为你是一个角色并不意味着你有角色。,由序幕、尾声及三个独立又环环相扣的故事构成。早餐店两名劫匪打劫时，偶遇黑道打手朱尔斯与文森特；文森特奉命陪伴老大马沙的妻子，深陷诱惑困境；拳击手布奇因祖传金表，和马沙结下恩怨。
黄金三镖客,(1966),2018-04-16 (CN),西部,2h 41m,85,意大利语,卢西亚诺·文森佐尼,赛尔乔·莱昂内,对这三人来说内战不是地狱，是天堂。,对三个男人而言，内战并非地狱……而只是热身！克林特·伊斯特伍德再度化身“无名客”，此番联手两名枪手，共同追寻一批价值20万美元的黄金，决不让任何人阻挡——哪怕是内战中的交战派系。
